CAC,20210930,6615.99,6621.75,6509.23,6520.01,0
CASH,20210930,1,1,1,1,0
COMP,20210930,14587.25,14632.23,14444.3,14448.58,0
CPC,20210930,1.09,1.09,1.09,1.09,0
CPCI,20210930,1.61,1.61,1.61,1.61,0
CPCS,20210930,0.84,0.84,0.84,0.84,0
CSE,20210930,1212.43,1230.89,1176.54,1228.56,0
CYM,20210930,23.97,24.04,23.76,23.76,0
DAX,20210930,15434.33,15448.52,15246,15260.69,0
DCFD,20210930,36.92,43.07,6.15,6.15,0
DCFI,20210930,32.3,33.84,20,21.53,0
DCOF,20210930,32.3,33.84,20,23.07,0
DCOH,20210930,36.92,40,27.69,27.69,0
DCSE,20210930,62425.44,62851.07,61918.46,61918.46,0
DCTH,20210930,52.3,52.3,41.53,41.53,0
DCTW,20210930,27.69,27.69,21.53,23.07,0
DECA,20210930,63,86,61,73,34098900
DECC,20210930,82,201,82,180,33171400
DECE,20210930,357,1793,357,1793,1357320000
DECN,20210930,680,1537,659,1471,2896757000
DECQ,20210930,869,1777,869,1690,1774982000
DECS,20210930,342,1012,342,1012,198074200
DECT,20210930,1612,3397,1593,3234,4705838000
DECU,20210930,836,2466,836,2423,7959580000
DECV,20210930,186,454,186,430,84921300
DECX,20210930,610,1650,610,1622,316167000
DIFD,20210930,40,46.66,6.66,6.66,0
DIFI,20210930,36.66,40,16.66,16.66,0
DIOF,20210930,40,43.33,26.66,26.66,0
DIOH,20210930,46.66,53.33,33.33,33.33,0
DITH,20210930,53.33,53.33,46.66,46.66,0
DITW,20210930,33.33,33.33,23.33,23.33,0
DJC,20210930,11275.45,11292.26,11078.01,11080.34,502719500
DJEC,20210930,2443.52,2472.93,2438.24,2446.35,0
DJI,20210930,34467.98,34556.09,33833.32,33843.92,356201900
DJT,20210930,14266.45,14289.84,14000.97,14002.42,90165600
DJU,20210930,884.6,885.74,874.4,874.63,56351900
DJWO,20210930,546.84,549.48,544.01,544.01,0
DLTC,20210930,3969.87,3990.35,3929.75,3930.53,0
DOWE,20210930,1948.97,1963.47,1936.83,1943.04,0
DRCI,20210930,324.88,324.88,318.26,318.27,0
DREI,20210930,452.91,452.91,443.48,443.49,0
DSAE,20210930,1513.3,1517.97,1489.63,1490.24,73554000
DSAF,20210930,1460.69,1478.15,1441.33,1441.91,7843300
DSAG,20210930,290.61,291.06,283.95,283.98,28262900
DSAI,20210930,1025.75,1030.4,1007.38,1007.53,12704300
DSAL,20210930,171.56,172.41,167.15,167.19,6043800
DSAM,20210930,2920.5,2947.56,2885.99,2886.67,44824600
DSAP,20210930,1151.09,1159.23,1141.74,1141.78,131589800
DSAR,20210930,207.68,207.68,202.65,204.21,61729600
DSAS,20210930,1572.01,1576.96,1543.42,1544.1,68175700
DSAT,20210930,601.67,602.25,590.09,590.09,17060700
DSAU,20210930,988.39,996.74,981.86,981.95,114529000
DSAV,20210930,712.58,716.71,707.54,708.1,12761400
DSBC,20210930,1962.48,1973.21,1943.89,1946.56,214817900
DSBD,20210930,1639.95,1645.95,1601.2,1601.22,37095700
DSBE,20210930,213.65,214.45,210.71,210.83,3802200
DSBK,20210930,589.74,589.74,577.23,578.54,203893600
DSBM,20210930,507.59,510.64,498.84,498.9,125473300
DSBS,20210930,270.84,274.12,267.63,267.63,78667500
DSBT,20210930,2870.88,2902.64,2861.22,2862.01,91784500
DSBV,20210930,874.26,875.87,860.75,860.82,35740000
DSCA,20210930,822.82,823.78,809.63,814.87,37831800
DSCC,20210930,637.01,639.18,624.18,624.3,16145500
